submit_time,age,total_exp,dept,overall_satis,workload,benefits_text,other_notes,gender,edu,emp_status,tenure,monthly_income,city,benefit_pension,benefit_annual_leave,benefit_health_ins,satis_q1,satis_q2,satis_q3
2025/12/01 14:30,35岁,8年,研发,4,5,五险一金,带薪年假,—,1,本科,在职,8,15000元,北京,1,1,0,5,2,4
01/12/2025 09:15,28岁,3年,销售部,4,4,补充医疗;五险一金,—,F,大专,在职,3,12K,上海,1,0,1,4,1,3
2025/12/03 16:45,42岁,15年,其他,3,3,—,希望增加远程办公,2,硕士,在职,15,20000,广州,0,0,0,3,5,2
2025/12/04 11:20,55岁,22年,生产,6,2,五险一金|补充医疗|带薪年假,—,男,高中,在职,22,18000,深圳,1,1,1,5,1,5
12/05/2025 13:50,未知,0,职能,0,5,—,—,M,本科,在职,5,-,杭州,0,0,0,1,5,1
2025/12/06 10:05,24岁,刚入职,R&D,4,4,带薪年假,—,1,本科,在职,1,8000,北京,0,1,0,3,3,3
12/07/2025 17:30,60岁,35年,顾问,4,1,五险一金,已退休返聘,男,博士,返聘,35,30000,Shanghai,1,0,0,4,2,4
2025/12/08 08:45,18岁,0.5年,销售,2,5,补充医疗,—,F,高中,实习生,0.5,5000,shang hai,0,0,1,2,4,2
2025/12/09 15:10,39岁,12,职能,NULL,NULL,五险一金,带薪年假,—,2,本科,在职,12,保密,成都,1,1,0,,,
12/12/2025 10:00,45岁,10年,研发,5,3,—,—,1,本科,在职,10,20000,重庆,0,0,0,5,1,5
2025/12/11 13:20,16岁,0,学生,3,4,五险一金,补充医疗,—,男,初中,非员工,0,0,北京,1,0,1,3,3,3
2025/12/12 14:00,25岁,2年,研发,4,4,五险一金,带薪年假,—,M,本科,在职,2,18000,北京,1,1,0,4,2,4
2025/12/13 11:30,50岁,30年,管理,5,2,补充医疗、带薪年假,—,男,硕士,在职,30,35000,上海,0,1,1,5,1,5
2025/12/14 09:45,22岁,1年,销售,2,5,—,—,F,本科,在职,1,7000,广州,0,0,0,2,4,2
2025/12/15 16:20,60岁,40年,退休,3,1,五险一金,退休人员,男,高中,非员工,40,5000,北京,1,0,0,3,3,3
2025/12/01 14:30,35岁,8年,研发,4,5,五险一金,带薪年假,—,1,本科,在职,8,15000元,北京,1,1,0,5,2,4
2025/12/16 10:00,28岁,3年,销售部,2,4,补充医疗;五险一金,—,F,大专,在职,3,12000,上海,1,0,1,4,1,3
2025/12/17 08:30,NULL,NULL,测试部门,NULL,NULL,测试,测试,unknown,未知,测试,NULL,NULL,未知城市,0,0,0,0,0,0
2025/12/18 12:00,200岁,50年,研发,NULL,10,五险一金,极端异常值测试,other,其他,其他,NULL,其他城市,1,1,1,1,1,1
